,report_date,total_cases,total_deaths,total_recovered,active_cases,country_region_name,new_cases,new_cases_sma,new_deaths,new_deaths_ratio,new_deaths_sma,new_recovered,new_recovered_sma
9,03/19,17963,830,1107,16026,Spain,4053.0,2240.8571428571427,207.0,0.332263242375602,110.71428571428571,26.0,132.0
10,03/20,20410,1043,1588,17779,Spain,2447.0,2168.285714285714,213.0,0.2566265060240964,130.0,481.0,199.28571428571428
11,03/21,25374,1375,2125,21874,Spain,4964.0,2711.8571428571427,332.0,0.3183125599232981,168.57142857142858,537.0,229.71428571428572
12,03/22,28603,1756,2125,24722,Spain,3229.0,2972.1428571428573,381.0,0.27709090909090905,209.57142857142858,0.0,229.71428571428572
13,03/23,35136,2311,3355,29470,Spain,6533.0,3599.1428571428573,555.0,0.3160592255125285,281.2857142857143,1230.0,403.57142857142856
14,03/24,39885,2808,3794,33283,Spain,4749.0,4019.5714285714284,497.0,0.21505841627001288,325.0,439.0,395.14285714285717
15,03/25,49515,3647,5367,40501,Spain,9630.0,5086.428571428572,839.0,0.2987891737891737,432.0,1573.0,612.2857142857143
16,03/26,57786,4365,7015,46406,Spain,8271.0,5689.0,718.0,0.19687414313134077,505.0,1648.0,844.0
17,03/27,65719,5138,9357,51224,Spain,7933.0,6472.714285714285,773.0,0.17709049255441012,585.0,2342.0,1109.857142857143
18,03/28,73235,5982,12285,54968,Spain,7516.0,6837.285714285715,844.0,0.16426625145971196,658.1428571428571,2928.0,1451.4285714285713
19,03/29,80110,6803,14709,58598,Spain,6875.0,7358.142857142857,821.0,0.13724506853895013,721.0,2424.0,1797.7142857142858
20,03/30,87956,7716,16780,63460,Spain,7846.0,7545.714285714285,913.0,0.13420549757459943,772.1428571428571,2071.0,1917.857142857143
21,03/31,95923,8464,19259,68200,Spain,7967.0,8005.428571428572,748.0,0.09694142042509069,808.0,2479.0,2209.285714285714
22,04/01,104118,9387,22647,72084,Spain,8195.0,7800.428571428572,923.0,0.10905009451795844,820.0,3388.0,2468.5714285714284
23,04/02,112065,10348,26743,74974,Spain,7947.0,7754.142857142857,961.0,0.10237562586555882,854.7142857142857,4096.0,2818.285714285714
24,04/03,119199,11198,30513,77488,Spain,7134.0,7640.0,850.0,0.08214147661383842,865.7142857142857,3770.0,3022.285714285714
25,04/04,126168,11947,34219,80002,Spain,6969.0,7561.857142857143,749.0,0.06688694409716023,852.1428571428571,3706.0,3133.4285714285716
26,04/05,131646,12641,38080,80925,Spain,5478.0,7362.285714285715,694.0,0.058089897045283445,834.0,3861.0,3338.714285714286
27,04/06,136675,13341,40437,82897,Spain,5029.0,6959.857142857143,700.0,0.055375365872953,803.5714285714286,2357.0,3379.5714285714284
28,04/07,141942,14045,43208,84689,Spain,5267.0,6574.142857142857,704.0,0.052769657446968044,797.2857142857143,2771.0,3421.285714285714
29,04/08,148220,14792,48021,85407,Spain,6278.0,6300.285714285715,747.0,0.05318618725525104,772.1428571428571,4813.0,3624.8571428571427
30,04/09,153222,15447,52165,85610,Spain,5002.0,5879.571428571428,655.0,0.04428069226608988,728.4285714285714,4144.0,3631.714285714286
31,04/10,158273,16081,55668,86524,Spain,5051.0,5582.0,634.0,0.04104356833042022,697.5714285714286,3503.0,3593.5714285714284
32,04/11,163027,16606,59109,87312,Spain,4754.0,5265.571428571428,525.0,0.0326472234313786,665.5714285714286,3441.0,3555.714285714286
33,04/12,166831,17209,62391,87231,Spain,3804.0,5026.428571428572,603.0,0.036312176321811496,652.5714285714286,3282.0,3473.0
34,04/13,170099,17756,64727,87616,Spain,3268.0,4774.857142857143,547.0,0.03178569353245386,630.7142857142857,2336.0,3470.0
35,04/14,172541,18056,67504,86981,Spain,2442.0,4371.285714285715,300.0,0.016895697229105666,573.0,2777.0,3470.8571428571427
36,04/15,177644,18708,70853,88083,Spain,5103.0,4203.428571428572,652.0,0.03610988037217555,559.4285714285714,3349.0,3261.714285714286
37,04/16,184948,19315,74797,90836,Spain,7304.0,4532.285714285715,607.0,0.03244601240111189,552.5714285714286,3944.0,3233.1428571428573
38,04/17,190839,20002,74797,96040,Spain,5891.0,4652.285714285715,687.0,0.0355682112347917,560.1428571428571,0.0,2732.714285714286
39,04/18,191726,20043,74797,96886,Spain,887.0,4099.857142857143,41.0,0.0020497950204978466,491.0,0.0,2241.1428571428573
40,04/19,198674,20453,77357,100864,Spain,6948.0,4549.0,410.0,0.0204560195579504,463.42857142857144,2560.0,2138.0
41,04/20,200210,20852,80587,98771,Spain,1536.0,4301.571428571428,399.0,0.01950814061506878,442.2857142857143,3230.0,2265.714285714286
42,04/21,204178,21282,82514,100382,Spain,3968.0,4519.571428571428,430.0,0.020621523115288642,460.85714285714283,1927.0,2144.285714285714
43,04/22,208389,21717,85915,100757,Spain,4211.0,4392.142857142857,435.0,0.02043980828869474,429.85714285714283,3401.0,2151.714285714286
44,04/23,213024,22157,89250,101617,Spain,4635.0,4010.8571428571427,440.0,0.020260625316572245,406.0,3335.0,2064.714285714286
45,04/24,219764,22524,92355,104885,Spain,6740.0,4132.142857142857,367.0,0.016563614207699695,360.2857142857143,3105.0,2508.285714285714
46,04/25,223759,22902,95708,105149,Spain,3995.0,4576.142857142857,378.0,0.016782099094299507,408.42857142857144,3353.0,2987.285714285714
47,04/26,226629,23190,117727,85712,Spain,2870.0,3993.5714285714284,288.0,0.012575320932669554,391.0,22019.0,5767.142857142857
48,04/27,229422,23521,120832,85069,Spain,2793.0,4173.142857142857,331.0,0.01427339370418279,381.2857142857143,3105.0,5749.285714285715
49,04/28,232128,23822,123903,84403,Spain,2706.0,3992.8571428571427,301.0,0.01279707495429605,362.85714285714283,3071.0,5912.714285714285
50,04/29,236899,24275,132929,79695,Spain,4771.0,4072.8571428571427,453.0,0.019016035597346992,365.42857142857144,9026.0,6716.285714285715
51,04/30,213435,24543,112050,76842,Spain,-23464.0,58.714285714285715,268.0,0.01104016477857872,340.85714285714283,-20879.0,3257.1428571428573
52,05/01,213435,24543,112050,76842,Spain,0.0,-904.1428571428571,0.0,0.0,288.42857142857144,0.0,2813.5714285714284
