,report_date,total_cases,total_deaths,total_recovered,active_cases,country_region_name,new_cases,new_cases_sma,new_deaths,new_deaths_ratio,new_deaths_sma,new_recovered,new_recovered_sma
24,04/04,82543,3330,76946,2267,China,32.0,77.71428571428571,4.0,0.00120264582080587,4.428571428571429,186.0,264.57142857142856
25,04/05,82602,3333,77207,2062,China,59.0,68.57142857142857,3.0,0.0009009009009008917,4.142857142857143,261.0,233.0
26,04/06,82665,3335,77310,2020,China,63.0,66.71428571428571,2.0,0.0006000600060005468,3.857142857142857,103.0,199.0
27,04/07,82718,3335,77410,1973,China,53.0,62.714285714285715,0.0,0.0,3.7142857142857144,100.0,172.85714285714286
28,04/08,82809,3337,77567,1905,China,91.0,64.0,2.0,0.0005997001499249421,3.0,157.0,166.85714285714286
29,04/09,82883,3339,77679,1865,China,74.0,64.42857142857143,2.0,0.0005993407252022909,2.4285714285714284,112.0,159.14285714285714
30,04/10,82941,3340,77791,1810,China,58.0,61.42857142857143,1.0,0.0002994908655284956,2.0,112.0,147.28571428571428
31,04/11,83014,3343,77877,1794,China,73.0,67.28571428571429,3.0,0.0008982035928144505,1.8571428571428572,86.0,133.0
32,04/12,83134,3343,77956,1835,China,120.0,76.0,0.0,0.0,1.4285714285714286,79.0,107.0
33,04/13,83213,3345,78039,1829,China,79.0,78.28571428571429,2.0,0.0005982650314089177,1.4285714285714286,83.0,104.14285714285714
34,04/14,83306,3345,78200,1761,China,93.0,84.0,0.0,0.0,1.4285714285714286,161.0,112.85714285714286
35,04/15,83356,3346,78311,1699,China,50.0,78.14285714285714,1.0,0.0002989536621824662,1.2857142857142858,111.0,106.28571428571429
36,04/16,83403,3346,78401,1656,China,47.0,74.28571428571429,0.0,0.0,1.0,90.0,103.14285714285714
37,04/17,83760,4636,77552,1572,China,357.0,117.0,1290.0,0.3855349671249253,185.14285714285714,-849.0,-34.142857142857146
38,04/18,83787,4636,77614,1537,China,27.0,110.42857142857143,0.0,0.0,184.71428571428572,62.0,-37.57142857142857
39,04/19,83805,4636,77690,1479,China,18.0,95.85714285714286,0.0,0.0,184.71428571428572,76.0,-38.0
40,04/20,83817,4636,77745,1436,China,12.0,86.28571428571429,0.0,0.0,184.42857142857142,55.0,-42.0
41,04/21,83853,4636,77799,1418,China,36.0,78.14285714285714,0.0,0.0,184.42857142857142,54.0,-57.285714285714285
42,04/22,83868,4636,77861,1371,China,15.0,73.14285714285714,0.0,0.0,184.28571428571428,62.0,-64.28571428571429
43,04/23,83884,4636,77983,1265,China,16.0,68.71428571428571,0.0,0.0,184.28571428571428,122.0,-59.714285714285715
44,04/24,83899,4636,78109,1154,China,15.0,19.857142857142858,0.0,0.0,0.0,126.0,79.57142857142857
45,04/25,83909,4636,78175,1098,China,10.0,17.428571428571427,0.0,0.0,0.0,66.0,80.14285714285714
46,04/26,83912,4637,78277,998,China,3.0,15.285714285714286,1.0,0.00021570319240726832,0.14285714285714285,102.0,83.85714285714286
47,04/27,83918,4637,78374,907,China,6.0,14.428571428571429,0.0,0.0,0.14285714285714285,97.0,89.85714285714286
48,04/28,83940,4637,78422,881,China,22.0,12.428571428571429,0.0,0.0,0.14285714285714285,48.0,89.0
49,04/29,83944,4637,78474,833,China,4.0,10.857142857142858,0.0,0.0,0.14285714285714285,52.0,87.57142857142857
50,04/30,83956,4637,78523,796,China,12.0,10.285714285714286,0.0,0.0,0.14285714285714285,49.0,77.14285714285714
51,05/01,83959,4637,78573,749,China,3.0,8.571428571428571,0.0,0.0,0.14285714285714285,50.0,66.28571428571429
0,03/10,1457,2,18,1437,Germany,,,,0.0,,,
